,age,gender,occupation,line_of_work,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,Unnamed: 19,time_bp.1,travel+work
48,19-25,Male,Student in College,,7,4,0.5,4,3,-1.0,0.0,0.5,0.0,-0.5,0.0,1100,1101,Complete Physical Attendance,Yes,,7,
49,19-25,Male,Student in College,,12,7,0.5,3,4,-0.5,0.0,0.0,0.0,0.0,0.0,1111,1,Work/study from home,Maybe,,12,
50,19-25,Male,Student in College,,12,4,0.5,5,5,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1000,1111,Complete Physical Attendance,No,,12,
51,19-25,Male,Student in College,,5,5,0.5,3,4,1.0,0.5,1.0,0.5,1.0,1.0,1010,1111,Work/study from home,Maybe,,5,
52,19-25,Female,Student in College,,7,7,0.5,2,2,0.0,0.5,0.5,0.0,0.0,-0.5,1,101,Work/study from home,Yes,,7,
53,19-25,Male,Student in College,,7,5,0.5,4,5,-0.5,-0.5,-1.0,-1.0,0.0,-1.0,10,1000,Complete Physical Attendance,Yes,,7,
54,19-25,Male,Entrepreneur,,12,12,1.5,2,2,0.5,-0.5,-0.5,0.5,-0.5,-0.5,1000,1,Work/study from home,Yes,,12,
55,19-25,Female,Student in College,,7,9,1.5,3,1,0.0,-0.5,0.0,0.0,0.0,-0.5,1000,1000,Work/study from home,Yes,,7,
56,19-25,Male,Student in College,,5,4,0.5,3,2,0.0,1.0,1.0,1.0,1.0,1.0,1100,111,Complete Physical Attendance,Yes,,5,
57,19-25,Male,Student in College,,5,5,0.5,1,2,-0.5,-1.0,0.5,0.5,0.5,1.0,10,100,Complete Physical Attendance,No,,5,
58,19-25,Male,Student in College,,5,5,0.5,1,2,-0.5,-1.0,0.5,0.5,0.5,1.0,10,100,Complete Physical Attendance,No,,5,
59,19-25,Male,Student in College,,9,9,0.5,2,3,0.5,0.0,0.5,0.5,0.5,0.5,1010,1000,Work/study from home,Yes,,9,
60,19-25,Male,Student in College,,5,5,0.5,3,3,-0.5,0.0,0.0,0.5,0.0,-0.5,1110,1111,Work/study from home,Yes,,5,
61,19-25,Male,Working Professional,Engineering,9,11,1.5,4,5,0.0,-0.5,-0.5,0.5,0.0,0.0,1100,1100,Complete Physical Attendance,Yes,,9,
62,19-25,Male,Student in College,,5,4,0.5,2,3,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,100,1000,Complete Physical Attendance,Yes,,5,
63,19-25,Male,Student in College,,7,9,0.5,4,4,-0.5,0.0,-0.5,0.5,-1.0,-0.5,1000,1101,Complete Physical Attendance,Maybe,,7,
64,19-25,Male,Student in College,,5,4,0.5,4,4,-0.5,-0.5,0.0,0.5,0.0,0.0,1000,1000,Complete Physical Attendance,Maybe,,5,
65,19-25,Male,Student in College,,7,4,0.5,4,1,-0.5,-0.5,1.0,1.0,1.0,1.0,1110,1100,Complete Physical Attendance,Maybe,,7,
66,19-25,Female,Student in College,,9,4,0.5,3,2,-0.5,-1.0,0.0,1.0,-0.5,0.5,1100,1100,Complete Physical Attendance,No,,9,
67,19-25,Female,Working Professional,Engineering,9,12,0.5,2,3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1101,Work/study from home,Yes,,9,
68,12-18,Male,Student in School,,7,5,1.5,3,3,0.5,-1.0,0.5,-0.5,0.5,0.0,1111,1111,Complete Physical Attendance,No,,7,
69,19-25,Male,Student in College,,5,7,1.5,2,2,-1.0,-0.5,-1.0,-0.5,-0.5,-1.0,1000,1000,Complete Physical Attendance,Yes,,5,
70,19-25,Male,Student in College,,7,7,2.5,4,3,0.0,0.0,0.0,1.0,1.0,1.0,1111,1100,Work/study from home,Yes,,7,
71,19-25,Male,Student in College,,7,9,0.5,4,3,0.0,-1.0,0.5,1.0,-1.0,0.0,1000,1111,Complete Physical Attendance,No,,7,
72,19-25,Prefer not to say,Retired/Senior Citizen,,4,9,2.5,3,3,0.5,-1.0,0.0,0.0,-1.0,0.0,1000,100,Complete Physical Attendance,Maybe,,4,
73,12-18,Male,Student in College,,7,4,1.5,3,5,-1.0,-1.0,1.0,0.0,-0.5,1.0,100,1111,Complete Physical Attendance,No,,7,
74,26-32,Female,Working Professional,Teaching,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,Work/study from home,Yes,,9,
75,19-25,Male,Student in College,,4,7,0.5,5,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,1,Complete Physical Attendance,Yes,,4,
76,19-25,Male,Student in College,,7,4,0.5,5,5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,10,1111,Complete Physical Attendance,No,,7,
77,19-25,Female,Student in College,,7,9,0.5,4,4,0.5,-0.5,-0.5,0.0,-0.5,0.0,100,11,Work/study from home,Yes,,7,
78,33-40,Male,Working Professional,Management,9,4,0.5,2,3,-0.5,-0.5,-1.0,-0.5,0.5,-0.5,100,100,Complete Physical Attendance,Yes,,9,
79,19-25,Male,Student in College,,7,7,0.5,2,2,0.0,-1.0,0.5,1.0,-0.5,0.0,1100,1101,Work/study from home,Yes,,7,
80,12-18,Female,Student in School,,7,4,2.5,3,4,-0.5,-1.0,0.5,0.0,0.5,0.0,1000,1001,Complete Physical Attendance,Yes,,7,
81,19-25,Female,Student in College,,7,11,1.5,3,4,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,1001,1110,Complete Physical Attendance,No,,7,
82,19-25,Female,Student in College,,7,7,2.5,4,2,0.0,-1.0,0.5,0.5,0.0,0.5,1000,1101,Complete Physical Attendance,No,,7,
83,19-25,Female,Student in College,,7,7,0.5,5,5,-1.0,0.0,-1.0,-1.0,-0.5,-1.0,1,10,Complete Physical Attendance,No,,7,
84,19-25,Male,Student in College,,5,7,0.5,3,4,0.0,-1.0,1.0,1.0,-0.5,0.0,100,1111,Complete Physical Attendance,Maybe,,5,
85,12-18,Male,Student in School,,7,5,0.5,4,2,-0.5,-1.0,0.5,0.5,-0.5,0.0,10,1000,Complete Physical Attendance,No,,7,
86,19-25,Male,Student in College,,7,12,0.5,5,2,-1.0,-1.0,-0.5,1.0,-0.5,0.0,1110,1100,Complete Physical Attendance,Maybe,,7,
87,19-25,Female,Student in College,,5,5,2.5,2,2,0.5,0.5,-0.5,0.5,-1.0,0.0,1100,1101,Complete Physical Attendance,Yes,,5,
88,19-25,Female,Student in College,,9,11,0.5,3,3,0.0,0.0,0.0,0.0,0.5,0.0,1110,1111,Complete Physical Attendance,No,,9,
89,19-25,Female,Student in College,,5,12,0.5,2,3,0.0,-1.0,-0.5,0.0,-1.0,0.0,1100,1101,Complete Physical Attendance,Maybe,,5,
90,19-25,Female,Student in College,,5,5,0.5,3,3,0.0,0.5,0.0,0.5,-0.5,0.0,100,1111,Complete Physical Attendance,Maybe,,5,
91,19-25,Male,Working Professional,Engineering,9,7,0.5,3,3,0.5,-1.0,0.0,0.5,0.5,1.0,1001,1101,Complete Physical Attendance,Yes,,9,
92,19-25,Male,Student in College,,7,11,0.5,3,3,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,1000,1111,Complete Physical Attendance,No,,7,
93,19-25,Male,Student in College,,5,5,1.5,3,3,-0.5,0.0,0.5,0.5,0.0,0.5,100,1111,Complete Physical Attendance,No,,5,
94,19-25,Male,Student in College,,7,12,0.5,5,5,0.0,-0.5,0.5,1.0,-1.0,0.5,100,1111,Complete Physical Attendance,No,,7,
95,19-25,Male,Student in College,,7,11,0.5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,100,1111,Complete Physical Attendance,Maybe,,7,
96,19-25,Male,Student in College,,9,7,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1.0,1000,1101,Work/study from home,Yes,,9,
97,12-18,Female,Student in College,,9,7,1.5,4,4,-1.0,-1.0,0.5,0.5,0.5,0.5,10,1000,Complete Physical Attendance,Yes,,9,
98,12-18,Male,Student in College,,5,7,0.5,4,5,0.0,0.0,-0.5,0.5,-0.5,-0.5,100,1111,Complete Physical Attendance,Yes,,5,
99,19-25,Female,Student in College,,7,12,0.5,5,3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1111,Complete Physical Attendance,Yes,,7,
100,19-25,Female,Student in College,,5,5,0.5,4,3,0.0,-0.5,0.5,0.5,-1.0,-0.5,1100,111,Complete Physical Attendance,Maybe,,5,
101,12-18,Male,Student in College,,9,7,0.5,3,2,-0.5,0.5,1.0,1.0,-0.5,0.0,11,1100,Complete Physical Attendance,Maybe,,9,
102,12-18,Male,Student in College,,5,4,0.5,5,5,-1.0,0.0,0.0,1.0,1.0,1.0,100,1,Complete Physical Attendance,No,,5,
103,12-18,Male,Student in College,,7,7,0.5,5,2,-1.0,-1.0,0.5,1.0,-1.0,0.5,1000,1111,Complete Physical Attendance,Maybe,,7,
104,19-25,Male,Student in College,,7,11,0.5,2,4,0.0,-0.5,-1.0,-0.5,-1.0,-0.5,1010,1100,Complete Physical Attendance,No,,7,
105,19-25,Male,Student in College,,5,5,1.5,2,3,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,1010,1110,Complete Physical Attendance,Maybe,,5,
106,19-25,Female,Student in College,,5,5,0.5,1,1,1.0,1.0,0.5,0.5,1.0,0.5,1110,1,Work/study from home,Yes,,5,
107,12-18,Female,Student in College,,4,9,0.5,1,2,-1.0,-1.0,1.0,-0.5,0.5,0.5,101,1100,Work/study from home,Yes,,4,
108,12-18,Male,Student in College,,5,5,1.5,4,4,-0.5,-0.5,0.0,0.5,-0.5,0.0,1000,1011,Complete Physical Attendance,Maybe,,5,
109,19-25,Male,Student in College,,5,5,0.5,3,3,0.0,0.5,0.5,1.0,0.5,0.5,1110,1111,Complete Physical Attendance,Yes,,5,
110,19-25,Male,Student in College,,7,7,0.5,4,3,-1.0,-1.0,-0.5,0.0,0.0,-1.0,1000,1100,Complete Physical Attendance,Maybe,,7,
111,19-25,Female,Student in College,,5,7,1.5,3,2,0.5,-0.5,-0.5,0.0,0.0,0.0,1000,1100,Complete Physical Attendance,Maybe,,5,
112,12-18,Male,Student in College,,7,7,0.5,3,2,-0.5,0.0,-0.5,1.0,0.0,0.0,1110,1000,Work/study from home,Yes,,7,
113,19-25,Female,Student in College,,5,5,0.5,3,4,-0.5,-1.0,0.0,-0.5,-1.0,-0.5,100,1111,Complete Physical Attendance,No,,5,
114,33-40,Female,Homemaker,,4,4,1.5,4,2,-0.5,-0.5,0.5,0.5,-0.5,-0.5,1000,1100,Complete Physical Attendance,No,,4,
115,19-25,Male,Student in College,,7,7,1.5,3,3,0.0,0.0,-0.5,1.0,-0.5,0.0,1111,1110,Complete Physical Attendance,No,,7,
116,12-18,Female,Student in School,,5,5,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1111,1011,Complete Physical Attendance,Yes,,5,
117,19-25,Male,Student in College,,9,5,0.5,4,3,0.0,-0.5,0.0,-1.0,-0.5,0.0,1010,1111,Complete Physical Attendance,No,,9,
118,19-25,Male,Student in College,,11,5,0.5,1,1,-0.5,-1.0,1.0,0.5,1.0,1.0,1100,1,Work/study from home,Yes,,11,
119,12-18,Male,Student in College,,9,5,0.5,4,4,-0.5,0.5,0.5,0.5,-0.5,0.0,1110,1011,Complete Physical Attendance,Yes,,9,
120,12-18,Male,Student in College,,7,5,0.5,4,5,-1.0,-1.0,0.5,1.0,-0.5,0.5,1000,1111,Complete Physical Attendance,Maybe,,7,
121,12-18,Male,Student in College,,7,9,0.5,5,2,-1.0,0.0,-1.0,1.0,-1.0,-0.5,10,1111,Complete Physical Attendance,No,,7,
122,19-25,Male,Student in College,,5,5,0.5,2,2,0.0,-0.5,0.5,0.5,-1.0,0.0,100,1111,Work/study from home,Maybe,,5,
123,19-25,Male,Student in College,,7,5,0.5,2,1,0.0,-1.0,0.5,0.5,-0.5,0.0,1110,1,Complete Physical Attendance,Maybe,,7,
124,19-25,Male,Student in College,,9,7,3.0,3,3,0.5,-1.0,0.5,0.0,-0.5,-0.5,1001,1,Work/study from home,Yes,,9,
125,19-25,Male,Student in College,,5,7,0.5,1,2,0.5,0.5,0.0,0.5,0.0,0.5,1000,1100,Work/study from home,Yes,,5,
126,19-25,Female,Student in College,,7,7,0.5,4,4,0.0,0.0,0.5,1.0,1.0,0.0,1000,1000,Complete Physical Attendance,Maybe,,7,
127,19-25,Male,Student in College,,7,11,0.5,5,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,1111,Complete Physical Attendance,No,,7,
128,19-25,Male,Student in College,,5,7,0.5,4,2,0.0,0.0,0.5,0.0,-0.5,-0.5,1000,1111,Complete Physical Attendance,Maybe,,5,
129,12-18,Male,Student in College,,5,5,0.5,5,5,-1.0,-1.0,-1.0,0.5,-0.5,-0.5,100,1,Complete Physical Attendance,No,,5,
130,19-25,Male,Student in College,,11,7,2.5,1,1,0.5,1.0,0.5,1.0,1.0,1.0,1110,1100,Work/study from home,Yes,,11,
131,19-25,Female,Student in College,,7,4,0.5,4,5,-0.5,-1.0,0.0,0.0,-1.0,-0.5,10,1101,Complete Physical Attendance,Maybe,,7,
132,19-25,Female,Student in College,,7,9,0.5,3,2,-0.5,-0.5,0.5,0.5,0.0,0.5,100,1111,Complete Physical Attendance,Maybe,,7,
133,12-18,Prefer not to say,Student in School,,9,11,1.5,2,4,0.0,-1.0,1.0,0.5,-1.0,-1.0,1001,1111,Work/study from home,Yes,,9,
134,19-25,Male,Student in College,,11,5,0.5,2,4,-1.0,0.5,1.0,1.0,0.5,1.0,1100,1000,Complete Physical Attendance,No,,11,
135,19-25,Male,Student in College,,5,4,0.5,1,3,0.0,0.0,1.0,1.0,0.5,1.0,1110,1000,Work/study from home,Yes,,5,
136,19-25,Male,Student in College,,7,9,0.5,4,3,-1.0,-1.0,-0.5,0.0,-1.0,-0.5,1111,1101,Complete Physical Attendance,No,,7,
137,19-25,Male,Student in College,,7,9,0.5,3,1,0.0,-0.5,1.0,0.5,0.0,0.0,1100,1001,Complete Physical Attendance,Yes,,7,
138,19-25,Male,Student in College,,7,7,0.5,3,4,-0.5,0.5,1.0,1.0,0.5,0.5,100,1111,Complete Physical Attendance,Maybe,,7,
139,12-18,Male,Student in College,,12,12,0.5,5,5,-1.0,0.0,0.0,0.0,0.0,0.0,1000,10,Complete Physical Attendance,No,,12,
140,12-18,Female,Student in College,,11,7,2.5,4,5,-0.5,0.0,-0.5,1.0,0.0,1.0,101,1010,Complete Physical Attendance,No,,11,
141,19-25,Male,Student in College,,7,7,2.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,Complete Physical Attendance,Maybe,,7,
142,19-25,Male,Student in College,,5,5,0.5,4,2,-0.5,-0.5,0.0,0.0,-0.5,-0.5,10,1111,Complete Physical Attendance,No,,5,
143,19-25,Female,Student in College,,5,4,0.5,1,3,0.0,0.0,0.5,0.0,-0.5,-0.5,10,1101,Complete Physical Attendance,Maybe,,5,
144,19-25,Female,Student in College,,5,12,0.5,5,3,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,10,1100,Complete Physical Attendance,No,,5,
145,12-18,Male,Student in College,,5,7,0.5,3,4,-0.5,-0.5,0.0,0.0,-1.0,-0.5,100,1000,Complete Physical Attendance,Yes,,5,
146,19-25,Male,Student in College,,5,7,0.5,4,3,0.0,0.5,0.5,0.5,-0.5,0.0,1110,1111,Complete Physical Attendance,Maybe,,5,
147,19-25,Female,Student in College,,5,7,0.5,4,4,-0.5,-1.0,-0.5,0.0,-0.5,-0.5,101,101,Complete Physical Attendance,No,,5,
148,19-25,Female,Student in College,,5,7,0.5,4,4,0.5,-1.0,0.5,1.0,0.0,-0.5,1000,1111,Complete Physical Attendance,Yes,,5,
149,19-25,Female,Student in College,,7,12,3.0,3,3,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,1111,1111,Complete Physical Attendance,Maybe,,7,
150,19-25,Male,Student in College,,5,9,0.5,5,3,0.0,0.5,-0.5,0.5,-0.5,-0.5,10,1000,Work/study from home,Maybe,,5,
151,12-18,Male,Student in College,,7,9,1.5,4,3,0.0,0.0,0.5,0.5,0.0,0.0,1100,1111,Complete Physical Attendance,Maybe,,7,
152,19-25,Male,Student in College,,7,11,2.5,2,1,0.5,-1.0,-1.0,0.5,0.5,0.5,1110,1101,Work/study from home,Yes,,7,
153,19-25,Female,Student in College,,9,11,1.5,3,3,0.5,-1.0,-0.5,0.0,-1.0,0.0,1100,1101,Complete Physical Attendance,Yes,,9,
154,19-25,Male,Student in College,,7,7,0.5,3,4,0.5,0.0,1.0,1.0,0.5,0.0,1010,1111,Complete Physical Attendance,Yes,,7,
155,12-18,Female,Student in College,,5,4,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,Complete Physical Attendance,Maybe,,5,
156,12-18,Female,Student in College,,5,4,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,Complete Physical Attendance,Maybe,,5,
157,19-25,Male,Student in College,,9,12,0.5,3,3,0.0,-0.5,-0.5,0.0,-0.5,-0.5,1000,1100,Complete Physical Attendance,Maybe,,9,
158,19-25,Male,Student in College,,7,4,0.5,2,2,0.5,-0.5,0.5,1.0,0.0,0.5,1100,1000,Complete Physical Attendance,Yes,,7,
159,19-25,Male,Student in College,,7,5,0.5,4,4,0.0,-0.5,0.0,0.0,-0.5,0.0,1000,1101,Complete Physical Attendance,Yes,,7,
160,19-25,Male,Student in College,,5,7,0.5,4,3,-1.0,-0.5,0.0,-0.5,0.0,-1.0,1011,11,Complete Physical Attendance,Yes,,5,
161,19-25,Male,Student in College,,7,4,1.5,3,3,-0.5,-0.5,0.5,0.0,0.5,1.0,1010,1111,Complete Physical Attendance,Maybe,,7,
162,19-25,Male,Student in College,,5,4,0.5,2,5,-1.0,-1.0,1.0,0.5,1.0,1.0,1111,1000,Complete Physical Attendance,Maybe,,5,
163,19-25,Male,Student in College,,7,9,0.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,Complete Physical Attendance,Yes,,7,
164,19-25,Male,Student in College,,7,7,1.5,3,3,0.0,0.5,-0.5,1.0,-0.5,0.0,111,1111,Complete Physical Attendance,Yes,,7,
165,19-25,Male,Student in College,,5,7,0.5,5,2,1.0,1.0,1.0,1.0,0.0,1.0,1101,1101,Complete Physical Attendance,Yes,,5,
166,19-25,Male,Student in College,,12,12,0.5,1,3,-1.0,-1.0,0.0,0.0,0.0,0.0,1110,1111,Complete Physical Attendance,Yes,,12,
167,19-25,Male,Student in College,,7,7,0.5,3,3,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,1000,10,Complete Physical Attendance,No,,7,
168,19-25,Male,Student in College,,7,5,1.5,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1110,1,Work/study from home,Yes,,7,
169,19-25,Male,Working Professional,APSPDCL ,5,5,1.5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1110,1101,Complete Physical Attendance,Maybe,,5,
170,19-25,Male,Student in College,,5,9,1.5,4,2,0.0,-1.0,-1.0,0.5,-0.5,-0.5,1100,1111,Complete Physical Attendance,No,,5,
171,19-25,Male,Student in College,,7,5,1.5,3,3,0.0,-1.0,0.0,1.0,0.5,1.0,1000,1100,Complete Physical Attendance,Maybe,,7,
172,19-25,Male,Student in College,,7,7,1.5,3,3,0.5,0.0,0.0,1.0,0.5,0.5,1110,1101,Work/study from home,Maybe,,7,
173,19-25,Female,Currently Out of Work,,7,4,0.5,2,4,-0.5,-0.5,-0.5,0.5,0.0,0.0,100,1111,Complete Physical Attendance,Yes,,7,
174,19-25,Male,Student in College,,7,11,1.5,1,2,1.0,0.5,1.0,1.0,0.5,1.0,1100,10,Work/study from home,Yes,,7,
175,19-25,Male,Student in College,,9,4,1.5,1,5,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,1110,11,Work/study from home,No,,9,
176,19-25,Male,Entrepreneur,,5,4,1.5,2,1,-0.5,-0.5,0.0,0.5,-1.0,-0.5,1000,1000,Complete Physical Attendance,Maybe,,5,
177,19-25,Male,Student in College,,7,4,0.5,4,3,-0.5,-1.0,0.0,-1.0,0.5,-0.5,1010,1111,Complete Physical Attendance,Yes,,7,
